team,gameweek,week_start,avg_score,avg_score_pct,n_articles,n_relevant
Kocaelispor,2026-W14,2026-03-30,0.062,1.6,32,2
Kocaelispor,2026-W15,2026-04-06,0.0,0.0,13,0
Kocaelispor,2026-W16,2026-04-13,0.889,22.2,9,2
Konyaspor,2025-W27,2025-06-30,4.0,100.0,1,1
Konyaspor,2025-W39,2025-09-22,2.0,50.0,4,2
Konyaspor,2025-W40,2025-09-29,0.0,0.0,1,0
Konyaspor,2025-W42,2025-10-13,1.0,25.0,3,1
Konyaspor,2025-W43,2025-10-20,1.778,44.4,9,5
Konyaspor,2025-W44,2025-10-27,0.75,18.8,4,2
Konyaspor,2025-W45,2025-11-03,1.324,33.1,34,18
Konyaspor,2025-W48,2025-11-24,2.0,50.0,4,2
Konyaspor,2025-W49,2025-12-01,0.667,16.7,3,1
Konyaspor,2025-W51,2025-12-15,1.4,35.0,5,2
Konyaspor,2026-W01,2025-12-29,0.0,0.0,1,0
Konyaspor,2026-W02,2026-01-05,0.0,0.0,2,0
Konyaspor,2026-W03,2026-01-12,0.0,0.0,1,0
Konyaspor,2026-W04,2026-01-19,1.4,35.0,5,4
Konyaspor,2026-W05,2026-01-26,1.556,38.9,9,5
Konyaspor,2026-W06,2026-02-02,1.686,42.1,35,19
Konyaspor,2026-W08,2026-02-16,0.429,10.7,7,1
Konyaspor,2026-W10,2026-03-02,4.0,100.0,1,1
Konyaspor,2026-W11,2026-03-09,0.0,0.0,1,0
Konyaspor,2026-W13,2026-03-23,0.0,0.0,4,0
Konyaspor,2026-W14,2026-03-30,0.0,0.0,3,0
Konyaspor,2026-W15,2026-04-06,0.0,0.0,1,0
Konyaspor,2026-W16,2026-04-13,0.0,0.0,3,0
